date,mainCategoryName,subcategoryName,timeSpent,currentLoggedInUser
8/8/2021,Self Development,Reading,60,hhANBj74wiclvfuDLGfuDlFZgJ62
8/8/2021,Entertainment,SM/Anime/MM,96.57,hhANBj74wiclvfuDLGfuDlFZgJ62
8/8/2021,Sleep,Sleep,431.8577992,hhANBj74wiclvfuDLGfuDlFZgJ62
8/8/2021,Education,Studied/Revised,174.49,hhANBj74wiclvfuDLGfuDlFZgJ62
8/8/2021,Entertainment,Video Games,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/9/2021,Skills,English Comms,51.41,hhANBj74wiclvfuDLGfuDlFZgJ62
8/9/2021,Self Development,Exercise,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/9/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/9/2021,Self Development,Reading,20,hhANBj74wiclvfuDLGfuDlFZgJ62
8/9/2021,Entertainment,SM/Anime/MM,128.11,hhANBj74wiclvfuDLGfuDlFZgJ62
8/9/2021,Sleep,Sleep,431.3787767,hhANBj74wiclvfuDLGfuDlFZgJ62
8/9/2021,Education,Studied/Revised,365,hhANBj74wiclvfuDLGfuDlFZgJ62
8/9/2021,Entertainment,Video Games,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/10/2021,Skills,English Comms,57.64,hhANBj74wiclvfuDLGfuDlFZgJ62
8/10/2021,Self Development,Exercise,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/10/2021,Skills,Programming,77.28,hhANBj74wiclvfuDLGfuDlFZgJ62
8/10/2021,Self Development,Reading,40.36,hhANBj74wiclvfuDLGfuDlFZgJ62
8/10/2021,Entertainment,SM/Anime/MM,49.26,hhANBj74wiclvfuDLGfuDlFZgJ62
8/10/2021,Sleep,Sleep,431.4090057,hhANBj74wiclvfuDLGfuDlFZgJ62
8/10/2021,Education,Studied/Revised,61,hhANBj74wiclvfuDLGfuDlFZgJ62
8/10/2021,Entertainment,Video Games,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/11/2021,Skills,English Comms,32.4,hhANBj74wiclvfuDLGfuDlFZgJ62
8/11/2021,Self Development,Exercise,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/11/2021,Skills,Programming,40.33,hhANBj74wiclvfuDLGfuDlFZgJ62
8/11/2021,Self Development,Reading,30.34,hhANBj74wiclvfuDLGfuDlFZgJ62
8/11/2021,Entertainment,SM/Anime/MM,111.26,hhANBj74wiclvfuDLGfuDlFZgJ62
8/11/2021,Sleep,Sleep,432.2576766,hhANBj74wiclvfuDLGfuDlFZgJ62
8/11/2021,Education,Studied/Revised,477.25,hhANBj74wiclvfuDLGfuDlFZgJ62
8/11/2021,Entertainment,Video Games,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/12/2021,Skills,English Comms,36.29,hhANBj74wiclvfuDLGfuDlFZgJ62
8/12/2021,Self Development,Exercise,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/12/2021,Skills,Programming,66.38,hhANBj74wiclvfuDLGfuDlFZgJ62
8/12/2021,Self Development,Reading,54.54,hhANBj74wiclvfuDLGfuDlFZgJ62
8/12/2021,Entertainment,SM/Anime/MM,274.81,hhANBj74wiclvfuDLGfuDlFZgJ62
8/12/2021,Sleep,Sleep,431.5352725,hhANBj74wiclvfuDLGfuDlFZgJ62
8/12/2021,Education,Studied/Revised,282.91,hhANBj74wiclvfuDLGfuDlFZgJ62
8/12/2021,Entertainment,Video Games,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/13/2021,Skills,English Comms,58.28,hhANBj74wiclvfuDLGfuDlFZgJ62
8/13/2021,Self Development,Exercise,3.74,hhANBj74wiclvfuDLGfuDlFZgJ62
8/13/2021,Skills,Programming,52.04,hhANBj74wiclvfuDLGfuDlFZgJ62
8/13/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/13/2021,Entertainment,SM/Anime/MM,134.22,hhANBj74wiclvfuDLGfuDlFZgJ62
8/13/2021,Sleep,Sleep,432.0768582,hhANBj74wiclvfuDLGfuDlFZgJ62
8/13/2021,Education,Studied/Revised,239,hhANBj74wiclvfuDLGfuDlFZgJ62
8/13/2021,Entertainment,Video Games,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/14/2021,Skills,English Comms,56.31,hhANBj74wiclvfuDLGfuDlFZgJ62
8/14/2021,Self Development,Exercise,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/14/2021,Skills,Programming,28.07,hhANBj74wiclvfuDLGfuDlFZgJ62
8/14/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/14/2021,Entertainment,SM/Anime/MM,235.66,hhANBj74wiclvfuDLGfuDlFZgJ62
8/14/2021,Sleep,Sleep,432.8408778,hhANBj74wiclvfuDLGfuDlFZgJ62
8/14/2021,Education,Studied/Revised,385.26,hhANBj74wiclvfuDLGfuDlFZgJ62
8/14/2021,Entertainment,Video Games,0,hhANBj74wiclvfuDLGfuDlFZgJ62
