date,education,skill,entertainment,selfDevelopment,sleep,currentLoggedInUser
21/10/2021,387.27,156.38,197.80,86.35,392.42,hhANBj74wiclvfuDLGfuDlFZgJ62
22/10/2021,0.00,147.92,394.00,95.88,379.33,hhANBj74wiclvfuDLGfuDlFZgJ62
23/10/2021,480.75,171.93,101.60,103.07,409.02,hhANBj74wiclvfuDLGfuDlFZgJ62
24/10/2021,226.38,225.47,117.00,83.60,427.73,hhANBj74wiclvfuDLGfuDlFZgJ62
25/10/2021,361.30,129.83,139.00,98.48,314.38,hhANBj74wiclvfuDLGfuDlFZgJ62
26/10/2021,266.17,209.08,48.97,67.93,337.43,hhANBj74wiclvfuDLGfuDlFZgJ62
27/10/2021,456.68,134.37,100.62,56.82,387.75,hhANBj74wiclvfuDLGfuDlFZgJ62
28/10/2021,55.43,184.43,203.83,117.70,400.03,hhANBj74wiclvfuDLGfuDlFZgJ62
29/10/2021,65.17,62.33,110.48,43.07,556.00,hhANBj74wiclvfuDLGfuDlFZgJ62
30/10/2021,188.25,163.95,143.97,37.63,347.08,hhANBj74wiclvfuDLGfuDlFZgJ62
31/10/2021,0.00,21.97,556.00,69.90,426.50,hhANBj74wiclvfuDLGfuDlFZgJ62
01/11/2021,264.12,132.25,118.98,96.95,472.00,hhANBj74wiclvfuDLGfuDlFZgJ62
02/11/2021,94.93,161.13,274.00,220.85,396.67,hhANBj74wiclvfuDLGfuDlFZgJ62
03/11/2021,346.13,132.97,89.68,88.85,378.90,hhANBj74wiclvfuDLGfuDlFZgJ62
04/11/2021,75.85,224.97,331.65,116.35,342.47,hhANBj74wiclvfuDLGfuDlFZgJ62
05/11/2021,137.93,87.85,319.65,122.25,395.27,hhANBj74wiclvfuDLGfuDlFZgJ62
06/11/2021,174.82,57.57,423.00,0.00,489.12,hhANBj74wiclvfuDLGfuDlFZgJ62
07/11/2021,20.43,116.92,342.85,94.13,412.40,hhANBj74wiclvfuDLGfuDlFZgJ62
08/11/2021,281.62,112.62,172.93,87.73,353.08,hhANBj74wiclvfuDLGfuDlFZgJ62
09/11/2021,95.05,172.08,109.00,147.13,406.82,hhANBj74wiclvfuDLGfuDlFZgJ62
10/11/2021,323.83,92.50,229.10,72.45,442.58,hhANBj74wiclvfuDLGfuDlFZgJ62
11/11/2021,0.00,120.38,384.62,225.52,381.13,hhANBj74wiclvfuDLGfuDlFZgJ62
