date,mainCategoryName,subcategoryName,timeRecorded,timeSpent,currentLoggedInUser
2021-07-30,Entertainment,SM/Anime/MM,N/A,119.23000000000002,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-30,Sleep,Sleep,N/A,431.3559829779275,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-30,Education,Studied/Revised,N/A,41.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-31,Skills,English Comms,N/A,80.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-31,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-31,Self Development,Reading,N/A,40.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-31,Entertainment,SM/Anime/MM,N/A,23.57,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-31,Sleep,Sleep,N/A,431.747464459409,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-31,Education,Studied/Revised,N/A,438.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-01,Skills,English Comms,N/A,97.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-01,Self Development,Exercise,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-01,Skills,Programming,N/A,30.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-01,Self Development,Reading,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-01,Entertainment,SM/Anime/MM,N/A,56.21,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-01,Sleep,Sleep,N/A,432.90653853348306,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-01,Education,Studied/Revised,N/A,504.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-01,Entertainment,Video Games,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-02,Skills,English Comms,N/A,60.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-02,Self Development,Exercise,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-02,Skills,Programming,N/A,70.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-02,Self Development,Reading,N/A,43.56,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-02,Entertainment,SM/Anime/MM,N/A,118.66,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-02,Sleep,Sleep,N/A,432.4350570520015,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-02,Education,Studied/Revised,N/A,135.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-02,Entertainment,Video Games,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-03,Skills,English Comms,N/A,92.27000000000001,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-03,Self Development,Exercise,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-03,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-03,Self Development,Reading,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-03,Entertainment,SM/Anime/MM,N/A,120.07,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-03,Sleep,Sleep,N/A,431.78825994022634,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-03,Education,Studied/Revised,N/A,471.01,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-03,Entertainment,Video Games,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-04,Skills,English Comms,N/A,70.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-04,Self Development,Exercise,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-04,Skills,Programming,N/A,173.60999999999999,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-04,Self Development,Reading,N/A,20.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-04,Entertainment,SM/Anime/MM,N/A,99.26,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-04,Sleep,Sleep,N/A,430.5362325910621,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-04,Education,Studied/Revised,N/A,318.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-04,Entertainment,Video Games,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-05,Skills,English Comms,N/A,79.4,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-05,Self Development,Exercise,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-05,Skills,Programming,N/A,129.17,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-05,Self Development,Reading,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-05,Entertainment,SM/Anime/MM,N/A,85.89,hhANBj74wiclvfuDLGfuDlFZgJ62
